timestamp,load_mw
2024-01-01 00:00:00,30417
2024-01-01 01:00:00,30319
2024-01-01 02:00:00,31581
2024-01-01 03:00:00,31952
2024-01-01 04:00:00,32412
2024-01-01 05:00:00,32949
2024-01-01 06:00:00,33619
2024-01-01 07:00:00,32923
2024-01-01 08:00:00,34785
2024-01-01 09:00:00,34483
2024-01-01 10:00:00,34146
2024-01-01 11:00:00,33758
2024-01-01 12:00:00,33576
2024-01-01 13:00:00,32808
2024-01-01 14:00:00,32694
2024-01-01 15:00:00,32862
2024-01-01 16:00:00,32464
2024-01-01 17:00:00,31817
2024-01-01 18:00:00,30513
2024-01-01 19:00:00,29309
2024-01-01 20:00:00,29122
2024-01-01 21:00:00,28360
2024-01-01 22:00:00,27776
2024-01-01 23:00:00,27671
2024-01-02 00:00:00,27995
2024-01-02 01:00:00,27097
2024-01-02 02:00:00,26316
2024-01-02 03:00:00,25692
2024-01-02 04:00:00,25756
2024-01-02 05:00:00,25855
2024-01-02 06:00:00,25937
2024-01-02 07:00:00,26086
2024-01-02 08:00:00,26063
2024-01-02 09:00:00,27633
2024-01-02 10:00:00,27554
2024-01-02 11:00:00,27581
2024-01-02 12:00:00,28813
2024-01-02 13:00:00,28711
2024-01-02 14:00:00,29857
2024-01-02 15:00:00,31140
2024-01-02 16:00:00,32208
2024-01-02 17:00:00,31735
2024-01-02 18:00:00,33717
2024-01-02 19:00:00,32246
2024-01-02 20:00:00,33970
2024-01-02 21:00:00,33922
2024-01-02 22:00:00,34113
2024-01-02 23:00:00,33598
2024-01-03 00:00:00,33667
2024-01-03 01:00:00,33626
2024-01-03 02:00:00,33744
2024-01-03 03:00:00,32475
2024-01-03 04:00:00,33120
2024-01-03 05:00:00,32337
2024-01-03 06:00:00,32049
2024-01-03 07:00:00,31058
2024-01-03 08:00:00,30870
2024-01-03 09:00:00,29545
2024-01-03 10:00:00,29889
2024-01-03 11:00:00,28550
2024-01-03 12:00:00,28077
2024-01-03 13:00:00,27141
2024-01-03 14:00:00,27978
2024-01-03 15:00:00,27291
2024-01-03 16:00:00,26922
2024-01-03 17:00:00,25753
2024-01-03 18:00:00,26218
2024-01-03 19:00:00,24945
2024-01-03 20:00:00,26296
2024-01-03 21:00:00,26487
2024-01-03 22:00:00,26309
2024-01-03 23:00:00,27003
2024-01-04 00:00:00,27731
2024-01-04 01:00:00,28747
2024-01-04 02:00:00,28924
2024-01-04 03:00:00,29345
2024-01-04 04:00:00,31080
2024-01-04 05:00:00,30897
2024-01-04 06:00:00,31508
2024-01-04 07:00:00,33020
2024-01-04 08:00:00,32181
2024-01-04 09:00:00,33535
2024-01-04 10:00:00,34362
2024-01-04 11:00:00,34216
2024-01-04 12:00:00,34325
2024-01-04 13:00:00,34041
2024-01-04 14:00:00,33601
2024-01-04 15:00:00,33095
2024-01-04 16:00:00,33884
2024-01-04 17:00:00,34382
2024-01-04 18:00:00,33016
2024-01-04 19:00:00,32741
2024-01-04 20:00:00,31472
2024-01-04 21:00:00,31172
2024-01-04 22:00:00,30391
2024-01-04 23:00:00,29768
2024-01-05 00:00:00,28670
2024-01-05 01:00:00,28231
2024-01-05 02:00:00,28633
2024-01-05 03:00:00,26785
2024-01-05 04:00:00,26801
2024-01-05 05:00:00,26582
2024-01-05 06:00:00,26292
2024-01-05 07:00:00,25727
2024-01-05 08:00:00,26437
2024-01-05 09:00:00,25319
2024-01-05 10:00:00,26383
2024-01-05 11:00:00,26155
2024-01-05 12:00:00,26939
2024-01-05 13:00:00,27296
2024-01-05 14:00:00,27930
2024-01-05 15:00:00,28626
2024-01-05 16:00:00,28999
2024-01-05 17:00:00,29434
2024-01-05 18:00:00,30971
2024-01-05 19:00:00,31914
2024-01-05 20:00:00,31908
2024-01-05 21:00:00,33491
2024-01-05 22:00:00,32117
2024-01-05 23:00:00,33307
2024-01-06 00:00:00,33575
2024-01-06 01:00:00,33881
2024-01-06 02:00:00,33625
2024-01-06 03:00:00,34851
2024-01-06 04:00:00,32841
2024-01-06 05:00:00,33350
2024-01-06 06:00:00,33828
2024-01-06 07:00:00,32421
2024-01-06 08:00:00,32468
2024-01-06 09:00:00,32535
2024-01-06 10:00:00,29433
2024-01-06 11:00:00,30352
2024-01-06 12:00:00,30788
2024-01-06 13:00:00,29400
2024-01-06 14:00:00,29265
2024-01-06 15:00:00,28812
2024-01-06 16:00:00,28033
2024-01-06 17:00:00,27029
2024-01-06 18:00:00,26082
2024-01-06 19:00:00,26060
2024-01-06 20:00:00,25758
2024-01-06 21:00:00,25630
2024-01-06 22:00:00,25389
2024-01-06 23:00:00,25246
2024-01-07 00:00:00,26684
2024-01-07 01:00:00,26800
2024-01-07 02:00:00,27760
2024-01-07 03:00:00,27331
2024-01-07 04:00:00,28712
2024-01-07 05:00:00,27923
2024-01-07 06:00:00,29948
2024-01-07 07:00:00,29789
2024-01-07 08:00:00,31589
2024-01-07 09:00:00,32028
2024-01-07 10:00:00,31922
2024-01-07 11:00:00,33382
2024-01-07 12:00:00,32520
2024-01-07 13:00:00,33997
2024-01-07 14:00:00,33416
2024-01-07 15:00:00,33656
2024-01-07 16:00:00,33671
2024-01-07 17:00:00,33634
2024-01-07 18:00:00,34185
2024-01-07 19:00:00,34191
2024-01-07 20:00:00,33117
2024-01-07 21:00:00,33084
2024-01-07 22:00:00,31612
2024-01-07 23:00:00,32125
